SRR7239362_1_1.fastq.res,SRR7239362_2_1.fastq.res,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Species
37.2,29.25,Bacteria,unk_k,Firmicutes,Clostridia,Eubacteriales,unk_f,unk_g,
1.65,1.23,Bacteria,unk_k,Firmicutes,Clostridia,Eubacteriales,unk_f,unk_g,uncultured Eubacteriales bacterium
0.52,0.35,Bacteria,unk_k,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Moorella,Moorella thermoacetica
0.88,0.0,Bacteria,unk_k,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacterales Family III. Incertae Sedis,Caldicellulosiruptor,Caldicellulosiruptor saccharolyticus
6.13,0.97,Bacteria,unk_k,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacterales Family III. Incertae Sedis,,
0.0,1.47,Bacteria,unk_k,Firmicutes,Clostridia,unk_o,unk_f,,
1.26,0.0,Bacteria,unk_k,Firmicutes,Clostridia,unk_o,unk_f,unk_g,
0.0,1.38,Bacteria,unk_k,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Erysipelothrix,
0.0,4.65,Bacteria,unk_k,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,,
0.0,0.43,Bacteria,unk_k,Firmicutes,Negativicutes,Selenomonadales,,,
0.43,0.0,Bacteria,unk_k,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,,
1.88,0.0,Bacteria,unk_k,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,,
2.43,1.87,Bacteria,unk_k,Firmicutes,Tissierellia,Tissierellales,Gottschalkiaceae,,
1.05,0.0,Bacteria,unk_k,Firmicutes,Tissierellia,Tissierellales,,,
0.0,2.86,Bacteria,unk_k,Firmicutes,Tissierellia,Tissierellales,Peptoniphilaceae,Anaerococcus,
1.41,1.12,Bacteria,unk_k,Firmicutes,Tissierellia,Tissierellales,Peptoniphilaceae,Citroniella,
2.37,2.97,Bacteria,unk_k,Firmicutes,Tissierellia,Tissierellales,Peptoniphilaceae,Finegoldia,Finegoldia magna
0.0,1.24,Bacteria,unk_k,Firmicutes,Tissierellia,Tissierellales,Peptoniphilaceae,Finegoldia,uncultured Finegoldia sp.
14.76,5.2700000000000005,Bacteria,unk_k,Firmicutes,Tissierellia,Tissierellales,Peptoniphilaceae,,
1.17,0.67,Bacteria,unk_k,Firmicutes,Tissierellia,Tissierellales,Peptoniphilaceae,Peptoniphilus,
5.4799999999999995,10.129999999999999,Bacteria,unk_k,Firmicutes,Tissierellia,Tissierellales,Tissierellaceae,,
1.54,2.1,Bacteria,unk_k,Firmicutes,Tissierellia,Tissierellales,Tissierellaceae,Sporanaerobacter,
3.33,2.57,Bacteria,unk_k,Firmicutes,Tissierellia,unk_o,unk_f,,
0.35,0.0,Bacteria,unk_k,Firmicutes,unk_c,unk_o,,,
15.760000000000002,14.870000000000001,Bacteria,unk_k,Firmicutes,unk_c,unk_o,unk_f,,
0.81,1.2,Bacteria,unk_k,Firmicutes,unk_c,unk_o,unk_f,unk_g,
1.18,4.77,Bacteria,unk_k,Firmicutes,unk_c,unk_o,unk_f,unk_g,uncultured Firmicutes bacterium
0.0,1.06,Bacteria,unk_k,Firmicutes,unk_c,unk_o,unk_f,unk_g,uncultured feedlot manure bacterium B6
2.85,2.98,Bacteria,unk_k,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Cetobacterium,Cetobacterium somerae
0.39,0.0,Bacteria,unk_k,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Cetobacterium,
0.24,0.0,Bacteria,unk_k,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Fusobacterium periodonticum
0.6,0.0,Bacteria,unk_k,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Fusobacterium sp. enrichment culture DGGE band 8
0.0,35.39,Bacteria,unk_k,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,
0.0,0.45,Bacteria,unk_k,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,uncultured Fusobacterium sp.
0.0,1.09,Bacteria,unk_k,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Ilyobacter,
63.18,97.59,Bacteria,unk_k,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,,
4.16,0.0,Bacteria,unk_k,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,unk_g,
0.0,1.55,Bacteria,unk_k,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,unk_g,uncultured Fusobacteriaceae bacterium
7.31,5.79,Bacteria,unk_k,Fusobacteria,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,,
35.31,0.0,Bacteria,unk_k,Fusobacteria,Fusobacteriia,Fusobacteriales,,,
0.0,1.0,Bacteria,unk_k,Fusobacteria,unk_c,unk_o,unk_f,,
0.0,2.62,Bacteria,unk_k,Fusobacteria,unk_c,unk_o,unk_f,unk_g,
2.62,0.0,Bacteria,unk_k,Fusobacteria,unk_c,unk_o,unk_f,unk_g,uncultured Fusobacteria bacterium
1.07,0.0,Bacteria,unk_k,Planctomycetes,Planctomycetia,Planctomycetales,,,
0.0,2.6,Bacteria,unk_k,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Brucellaceae,,
21.63,0.0,Bacteria,unk_k,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Brucellaceae,Ochrobactrum,
0.0,0.65,Bacteria,unk_k,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Methylobacteriaceae,Methylobacterium,uncultured Methylobacterium sp.
0.0,0.53,Bacteria,unk_k,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,,,
2.17,0.0,Bacteria,unk_k,Proteobacteria,Alphaproteobacteria,Rhodobacterales,,,
0.46,0.43,Bacteria,unk_k,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,,
1.01,0.0,Bacteria,unk_k,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodobacter,uncultured Rhodobacter sp.
0.4,0.0,Bacteria,unk_k,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,unk_g,uncultured Rhodobacteraceae bacterium
0.44,0.0,Bacteria,unk_k,Proteobacteria,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Ehrlichia,
0.57,0.56,Bacteria,unk_k,Proteobacteria,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,,
3.78,2.9,Bacteria,unk_k,Proteobacteria,Alphaproteobacteria,Rickettsiales,,,
0.0,0.45,Bacteria,unk_k,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,,
0.0,0.4,Bacteria,unk_k,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,uncultured Sphingomonas sp.
0.46,3.21,Bacteria,unk_k,Proteobacteria,Alphaproteobacteria,unk_o,unk_f,,
0.43,0.0,Bacteria,unk_k,Proteobacteria,Alphaproteobacteria,unk_o,unk_f,unk_g,
0.66,0.0,Bacteria,unk_k,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Bordetella,Bordetella avium
0.0,0.44,Bacteria,unk_k,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,,
6.45,12.66,Bacteria,unk_k,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,,
0.97,0.0,Bacteria,unk_k,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,Acidovorax sp. JS42
0.0,0.34,Bacteria,unk_k,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Comamonas,Comamonas sp. Li1-2
0.36,0.0,Bacteria,unk_k,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Delftia,Delftia sp. A317
90.31,17.94,Bacteria,unk_k,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,,
0.92,54.48,Bacteria,unk_k,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Polaromonas,
1.9500000000000002,1.84,Bacteria,unk_k,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Polaromonas,Polaromonas naphthalenivorans
0.9,0.91,Bacteria,unk_k,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Polaromonas,uncultured Polaromonas sp.
0.0,0.74,Bacteria,unk_k,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Simplicispira,Simplicispira psychrophila
0.0,0.25,Bacteria,unk_k,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,unk_g,uncultured Comamonadaceae bacterium
0.25,0.0,Bacteria,unk_k,Proteobacteria,Betaproteobacteria,Burkholderiales,,,
0.0,0.48,Bacteria,unk_k,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,,
1.48,0.0,Bacteria,unk_k,Proteobacteria,Betaproteobacteria,Burkholderiales,unk_f,Leptothrix,Leptothrix cholodnii
0.92,1.0,Bacteria,unk_k,Proteobacteria,Betaproteobacteria,Burkholderiales,unk_f,,
1.6,0.53,Bacteria,unk_k,Proteobacteria,Betaproteobacteria,Burkholderiales,unk_f,unk_g,uncultured Burkholderiales bacterium
0.95,1.9,Bacteria,unk_k,Proteobacteria,Betaproteobacteria,Neisseriales,Chromobacteriaceae,Aquitalea,Aquitalea sp. W1_10
1.32,0.0,Bacteria,unk_k,Proteobacteria,Betaproteobacteria,Neisseriales,Chromobacteriaceae,Chromobacterium,
0.71,0.0,Bacteria,unk_k,Proteobacteria,Betaproteobacteria,Neisseriales,Chromobacteriaceae,Deefgea,Deefgea sp.
0.42,0.0,Bacteria,unk_k,Proteobacteria,Betaproteobacteria,Neisseriales,Chromobacteriaceae,Deefgea,Deefgea sp. 01WB02.1-28
0.0,0.96,Bacteria,unk_k,Proteobacteria,Betaproteobacteria,Neisseriales,Chromobacteriaceae,Deefgea,uncultured Deefgea sp.
1.21,1.59,Bacteria,unk_k,Proteobacteria,Betaproteobacteria,Neisseriales,Chromobacteriaceae,,
0.43,0.0,Bacteria,unk_k,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Conchiformibius,
11.11,14.54,Bacteria,unk_k,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,,
5.43,3.99,Bacteria,unk_k,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,
5.3,11.39,Bacteria,unk_k,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,Neisseria gonorrhoeae
1.09,0.73,Bacteria,unk_k,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,unk_g,
0.98,0.0,Bacteria,unk_k,Proteobacteria,Betaproteobacteria,Nitrosomonadales,,,
6.58,4.2,Bacteria,unk_k,Proteobacteria,Betaproteobacteria,Nitrosomonadales,Thiobacillaceae,Thiobacillus,Thiobacillus denitrificans
0.79,0.0,Bacteria,unk_k,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,,
0.82,0.0,Bacteria,unk_k,Proteobacteria,Betaproteobacteria,Rhodocyclales,Zoogloeaceae,Azoarcus,
0.82,1.24,Bacteria,unk_k,Proteobacteria,Betaproteobacteria,unk_o,,,
3.42,5.48,Bacteria,unk_k,Proteobacteria,Betaproteobacteria,unk_o,unk_f,,
0.0,0.53,Bacteria,unk_k,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,,
0.85,1.93,Bacteria,unk_k,Proteobacteria,Deltaproteobacteria,Myxococcales,Nannocystaceae,,
5.09,2.98,Bacteria,unk_k,Proteobacteria,Deltaproteobacteria,Myxococcales,Nannocystaceae,Nannocystis,uncultured Nannocystis sp.
2.47,0.62,Bacteria,unk_k,Proteobacteria,Deltaproteobacteria,Myxococcales,Nannocystaceae,unk_g,uncultured Nannocystaceae bacterium
0.4,0.0,Bacteria,unk_k,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,,
0.91,1.21,Bacteria,unk_k,Proteobacteria,Deltaproteobacteria,Myxococcales,Sandaracinaceae,unk_g,uncultured Sandaracinaceae bacterium
0.0,0.92,Bacteria,unk_k,Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Syntrophaceae,,
0.82,0.81,Bacteria,unk_k,Proteobacteria,Deltaproteobacteria,unk_o,unk_f,unk_g,
1.17,3.4499999999999997,Bacteria,unk_k,Proteobacteria,Deltaproteobacteria,unk_o,unk_f,unk_g,uncultured delta proteobacterium
2.97,4.32,Bacteria,unk_k,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter concisus
0.96,1.0,Bacteria,unk_k,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter jejuni
0.56,1.11,Bacteria,unk_k,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter lari
1.71,0.79,Bacteria,unk_k,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,,
0.0,0.49,Bacteria,unk_k,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,Helicobacter acinonychis
0.0,2.82,Bacteria,unk_k,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,Helicobacter brantae
2.6,2.12,Bacteria,unk_k,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,Helicobacter pametensis
2.63,0.0,Bacteria,unk_k,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,
0.8200000000000001,0.0,Bacteria,unk_k,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,,
12.129999999999999,10.08,Bacteria,unk_k,Proteobacteria,Epsilonproteobacteria,Campylobacterales,,,
2.25,0.0,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Cardiobacteriales,,,
0.0,2.23,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Chromatiales,Thioalkalispiraceae,Thioalkalispira,uncultured Thioalkalispira sp.
0.0,242.23,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Cronobacter,
1.38,0.0,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Enterobacter asburiae
899.17,1473.4,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli
8.440000000000001,6.58,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,
1.3800000000000001,0.29,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,uncultured Escherichia sp.
0.35,0.0,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Kosakonia,
2.46,0.8200000000000001,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,,
0.0,2.15,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,
269.05,0.0,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica
177.37,0.0,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella dysenteriae
0.0,0.54,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella sp.
0.36,0.46,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,uncultured Shigella sp.
0.0,2.0300000000000002,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,unk_g,
0.0,4.43,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,unk_g,uncultured Enterobacteriaceae bacterium
0.36,0.0,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Pantoea,Pantoea agglomerans
0.77,0.0,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Pantoea,Pantoea ananatis
0.55,0.55,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Enterobacterales,Hafniaceae,Edwardsiella,Edwardsiella ictaluri
2.29,0.87,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Enterobacterales,,,
0.0,0.23,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Enterobacterales,Pectobacteriaceae,Brenneria,
0.6,0.0,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Enterobacterales,unk_f,unk_g,
0.43,0.25,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Enterobacterales,unk_f,unk_g,uncultured Enterobacterales bacterium
1.82,0.0,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Legionellales,Coxiellaceae,Coxiella,Coxiella burnetii
0.0,0.82,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Legionellales,Coxiellaceae,Coxiella,
4.83,1.89,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,,
5.58,12.479999999999999,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Legionellales,,,
0.0,0.33,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylococcaceae,,
0.35,0.0,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii
15.59,15.71,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Moraxellales,Moraxellaceae,Moraxella,Moraxella catarrhalis
0.0,2.85,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Moraxellales,Moraxellaceae,Moraxella,Moraxella nonliquefaciens
0.0,59.53,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Moraxellales,Moraxellaceae,Moraxella,
3.79,20.86,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Moraxellales,Moraxellaceae,,
25.43,29.91,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Moraxellales,Moraxellaceae,Psychrobacter,
48.6,41.36,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Moraxellales,Moraxellaceae,Psychrobacter,Psychrobacter arcticus
58.43,72.7,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Moraxellales,Moraxellaceae,Psychrobacter,Psychrobacter meningitidis
50.199999999999996,26.57,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Moraxellales,Moraxellaceae,Psychrobacter,Psychrobacter sp.
2.5,1.23,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Moraxellales,Moraxellaceae,Psychrobacter,Psychrobacter sp. ALBL_215
0.82,0.0,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Moraxellales,Moraxellaceae,Psychrobacter,Psychrobacter sp. DAB_AL49
9.97,9.43,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Moraxellales,Moraxellaceae,Psychrobacter,Psychrobacter sp. MV2
0.0,3.34,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Moraxellales,Moraxellaceae,Psychrobacter,Psychrobacter sp. PB1
5.14,0.0,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Moraxellales,Moraxellaceae,Psychrobacter,Psychrobacter sp. a328
51.010000000000005,46.19,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Moraxellales,Moraxellaceae,Psychrobacter,Psychrobacter urativorans
97.15,111.42,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Moraxellales,Moraxellaceae,Psychrobacter,uncultured Psychrobacter sp.
0.0,0.79,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Moraxellales,Moraxellaceae,unk_g,uncultured Moraxellaceae bacterium
3.0,3.0,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Hahellaceae,Hahella,Hahella chejuensis
1.59,0.0,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Hahellaceae,Hahella,
53.879999999999995,16.82,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Pasteurellales,,,
1.33,2.64,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Aggregatibacter,
3.21,4.52,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,Haemophilus influenzae
0.0,2.25,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,
7.069999999999999,0.81,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,[Haemophilus] ducreyi
8.120000000000001,19.96,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Histophilus,Histophilus somni
0.61,0.81,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Mergibacter,
145.96,188.78,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,,
3.08,0.42,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Pasteurella,
0.0,3.09,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Pasteurella,Pasteurella multocida
2.2,1.93,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Marinobacteraceae,,
0.0,2.44,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,,
0.6,8.67,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,
0.76,0.0,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas brassicacearum
3.8499999999999996,2.38,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas fluorescens
0.0,0.6699999999999999,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas sp.
0.0,0.56,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas sp. MFY70
0.0,0.38,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas sp. PN195.3
0.0,0.33,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas sp. Q7-87
0.0,24.75,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas tolaasii
0.0,0.38,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,uncultured Pseudomonas sp.
0.28,0.0,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Xanthomonadales,,,
0.99,1.03,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,,
0.0,0.55,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,uncultured Stenotrophomonas sp.
1.61,2.26,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonas,Xanthomonas sp. AK(2010)
0.33,0.0,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonas,Xanthomonas sp. KBDL12
0.8,1.2,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,unk_o,,,
22.36,0.71,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,unk_o,unk_f,,
0.34,1.56,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,unk_o,unk_f,unk_g,
119.13,124.12000000000002,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,unk_o,unk_f,unk_g,uncultured Gammaproteobacteria bacterium
0.0,0.68,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,unk_o,unk_f,unk_g,unidentified eubacterium clone ESH20b-4
5.76,0.0,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,unk_o,unk_f,unk_g,unidentified eubacterium clone ESH21b-4
0.0,27.54,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,unk_o,unk_f,unk_g,unidentified eubacterium clone ESH7-16
0.0,8.0,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,unk_o,unk_f,unk_g,unidentified eubacterium clone P#126
0.73,0.97,Bacteria,unk_k,Proteobacteria,Hydrogenophilalia,Hydrogenophilales,Hydrogenophilaceae,,
0.0,13.31,Bacteria,unk_k,Proteobacteria,unk_c,unk_o,,,
41.98,0.0,Bacteria,unk_k,Proteobacteria,unk_c,unk_o,unk_f,,
1.34,2.15,Bacteria,unk_k,Proteobacteria,unk_c,unk_o,unk_f,unk_g,
0.63,0.0,Bacteria,unk_k,Spirochaetes,Spirochaetia,Spirochaetales,Borreliaceae,,
6.1,0.99,Bacteria,unk_k,Spirochaetes,Spirochaetia,Spirochaetales,Treponemataceae,,
0.0,0.43,Bacteria,unk_k,Spirochaetes,unk_c,unk_o,unk_f,,
1.63,0.0,Bacteria,unk_k,Synergistetes,Synergistia,Synergistales,Synergistaceae,Dethiosulfovibrio,
61.71,86.07000000000001,Bacteria,unk_k,Synergistetes,Synergistia,Synergistales,Synergistaceae,,
2.7199999999999998,0.23,Bacteria,unk_k,Tenericutes,Mollicutes,Acholeplasmatales,Acholeplasmataceae,,
0.0,0.66,Bacteria,unk_k,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Mycoplasma,uncultured Mycoplasma sp.
0.0,1.61,Bacteria,unk_k,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Mycoplasmopsis,
5.41,4.67,Bacteria,unk_k,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,,
2.52,8.88,Bacteria,unk_k,Tenericutes,Mollicutes,Mycoplasmatales,,,
0.69,0.0,Bacteria,unk_k,Thermotogae,Thermotogae,Petrotogales,,,
0.0,1.0,Bacteria,unk_k,Thermotogae,Thermotogae,Petrotogales,Petrotogaceae,,
1.32,0.0,Bacteria,unk_k,Thermotogae,Thermotogae,Thermotogales,Fervidobacteriaceae,,
0.4,0.46,Bacteria,unk_k,unk_p,unk_c,unk_o,,,
8.49,23.39,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,,
0.0,0.5,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,Adelie penguin guano bacterium 110
1.01,0.84,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,Adelie penguin guano bacterium 26
1.94,1.57,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,
0.0,1.8,Bacteria,unk_k,unk_p,unk_c,unk_o,unk_f,unk_g,anaerobic bacterium A130
